anal_idx,initial_region_ratio,no_initial_region_ratio,known_cnt,pearson_r,p_value,mse,r2
3,0.5,0.9,548.0,0.9196438789367676,6.478681439287492e-35,0.783988356590271,-0.38199368119239807
3,0.5,1.0,604.0,0.9045852422714233,8.04714872515433e-09,1.7077813148498535,-32.95274353027344
3,0.6,0.1,115.0,0.8974916934967041,0.0,0.04615117982029915,0.711582362651825
3,0.6,0.2,170.0,0.9008215069770813,0.0,0.06323180347681046,0.6392270922660828
3,0.6,0.3,226.0,0.904665470123291,0.0,0.08531996607780457,0.560809314250946
3,0.6,0.4,281.0,0.9090402126312256,0.0,0.11238172650337219,0.4840383529663086
3,0.6,0.5,337.0,0.9138641357421875,0.0,0.14759737253189087,0.4073701500892639
3,0.6,0.6,392.0,0.9187936186790466,0.0,0.19388070702552795,0.33102095127105713
3,0.6,0.7,447.0,0.9235618710517883,0.0,0.2619650363922119,0.24479477107524872
3,0.6,0.8,503.0,0.9275925159454346,0.0,0.3784835934638977,0.12156819552183151
3,0.6,0.9,558.0,0.9263850450515747,6.009563913982135e-35,0.6202285885810852,-0.15388093888759613
3,0.6,1.0,614.0,0.9264082908630371,6.085135173528045e-11,1.5377198457717896,-32.0046501159668
3,0.7,0.1,125.0,0.8894224762916565,0.0,0.032933980226516724,0.7338155508041382
3,0.7,0.2,180.0,0.8928704857826233,0.0,0.042811319231987,0.6848313212394714
3,0.7,0.3,236.0,0.8970780968666077,0.0,0.05699959397315979,0.6227304339408875
3,0.7,0.4,291.0,0.9019944071769714,0.0,0.07531501352787018,0.5576567649841309
3,0.7,0.5,347.0,0.907670259475708,0.0,0.0999986082315445,0.49022263288497925
3,0.7,0.6,402.0,0.9136987328529358,0.0,0.1331804245710373,0.4231661558151245
3,0.7,0.7,457.0,0.9200196862220764,0.0,0.18314529955387115,0.34951695799827576
3,0.7,0.8,513.0,0.9264453649520874,0.0,0.2714706361293793,0.25040778517723083
3,0.7,0.9,568.0,0.9295570850372314,7.915163660613026e-34,0.46625638008117676,0.046020135283470154
3,0.7,1.0,624.0,0.9444184899330139,1.068593302733234e-08,1.3873393535614014,-31.331518173217773
3,0.8,0.1,135.0,0.8769757151603699,0.0,0.0230118315666914,0.7337548732757568
3,0.8,0.2,190.0,0.8802286386489868,0.0,0.02711387164890766,0.7143226861953735
3,0.8,0.3,246.0,0.8845149278640747,0.0,0.03465066850185394,0.6722204685211182
3,0.8,0.4,301.0,0.8895936608314514,0.0,0.04531662166118622,0.6208322048187256
3,0.8,0.5,357.0,0.8959176540374756,0.0,0.06045479699969292,0.5635393261909485
3,0.8,0.6,412.0,0.9031838178634644,0.0,0.08148054778575897,0.5052796006202698
3,0.8,0.7,467.0,0.9116438031196594,0.0,0.11407078802585602,0.4424816071987152
3,0.8,0.8,523.0,0.9217941164970398,0.0,0.17378535866737366,0.3640071749687195
3,0.8,0.9,578.0,0.9308686852455139,1.9985975682307752e-28,0.3153219521045685,0.22128280997276306
3,0.8,1.0,634.0,0.9624159336090088,4.834022249156078e-08,1.248953938484192,-32.55314636230469
3,0.9,0.1,145.0,0.8647966980934143,0.0,0.01557410228997469,0.6804926991462708
3,0.9,0.2,200.0,0.8657438158988953,0.0,0.014984654262661934,0.718407154083252
3,0.9,0.3,256.0,0.8676996827125549,0.0,0.016910307109355927,0.7132681012153625
3,0.9,0.4,311.0,0.8705978393554688,0.0,0.020975979045033455,0.6845187544822693
3,0.9,0.5,367.0,0.8755014538764954,0.0,0.02761973813176155,0.6413689255714417
3,0.9,0.6,422.0,0.88228440284729,0.0,0.037500012665987015,0.5920815467834473
